Step	Best	Median	Predicted	Progress
0	86.4265	90.1665	0	0
1	86.084	89.9798	-85.1654	0.00397866
2	85.2105	89.6497	-218.787	0.00710984
3	85.4865	88.7965	-85.8504	0.00399455
4	85.85	90.322	2.59921	0.00193364
5	84.6197	89.5361	-75.4926	0.00375186
6	85.7153	89.0973	29.9159	0.00129623
7	86.1023	89.1939	88.0315	-5.22245e-05
8	86.1456	90.0671	136.768	-0.00118014
9	86.1055	88.9963	117.386	-0.000727764
10	84.4905	89.5029	99.461	-0.000313181
11	84.3488	88.8182	75.0374	0.000247613
12	85.7236	88.1673	82.1206	8.40216e-05
13	85.826	89.2426	86.5178	-1.73017e-05
14	86.5806	88.9672	97.4766	-0.000269994
15	85.5044	88.3135	86.9453	-2.70941e-05
16	85.3118	89.2533	79.0934	0.000153378
17	86.7768	89.4988	86.95	-2.70934e-05
18	85.2703	88.2794	79.0671	0.000153402
19	85.4454	88.0537	71.961	0.000314733
20	87.0669	88.3284	79.0408	0.000153425
21	85.3516	86.7552	72.1917	0.000308311
22	85.0827	88.6152	73.2349	0.000283499
23	87.2691	89.3513	80.9762	0.00010769
24	84.3926	89.1101	73.1864	0.00028358
25	86.6087	87.9081	80.9577	0.000107702
26	85.1113	88.915	73.1378	0.00028366
27	85.3562	88.0174	73.7933	0.000268676
28	84.3309	89.3093	70.8497	0.000334618
29	84.114	88.8645	67.7907	0.000403538
30	86.932	89.2141	70.7925	0.00033473
31	85.0735	87.3867	70.1258	0.000349367
32	84.32	87.3756	68.3695	0.000388686
33	85.3513	88.3706	70.066	0.000349489
34	84.81	88.086	68.4596	0.000385271
35	84.1882	89.2245	67.4133	0.000407885
36	85.4448	89.0118	68.3937	0.00038542
37	85.7169	87.5081	70.5201	0.000336714
38	85.5311	88.8605	70.9711	0.000326196
39	84.8727	87.6501	70.9414	0.00032627
40	84.4985	87.7694	70.6597	0.000331919
41	84.5605	88.5386	69.8247	0.000350031
42	85.2974	89.122	70.1664	0.000341795
43	84.3829	89.0747	69.0789	0.000365658
44	85.9705	87.7698	70.108	0.000341912
45	85.2542	87.5155	70.7437	0.000327275
46	85.2699	87.9087	71.0165	0.000320783
47	85.7922	89.5982	71.476	0.000310191
48	85.1644	88.2403	72.6751	0.000283744
49	86.0728	89.3703	74.1421	0.000251556
50	85.3107	89.3014	75.2951	0.000226271
51	84.1946	89.4682	74.296	0.000247302
52	84.4043	88.5222	72.7717	0.000279739
53	83.8066	87.5115	71.8889	0.000298035
54	84.3846	87.2284	70.9643	0.00031761
55	85.0746	89.0717	72.5546	0.000282584
56	83.7488	94.4883	71.1472	0.000312541
57	83.9193	88.6744	70.5567	0.000324664
58	85.1326	88.002	71.094	0.000312638
59	84.0266	88.4117	70.5014	0.000324769
60	84.226	87.2522	70.1259	0.000332321
61	83.9229	88.8285	69.8645	0.000337326
62	85.8705	87.6066	70.0693	0.000332431
63	85.3294	87.1793	70.708	0.000318072
64	83.4992	86.4703	70.0128	0.000332542
65	84.6983	86.3879	70.6539	0.000318173
66	83.0812	86.8492	69.9562	0.000332653
67	83.0396	85.9049	69.6923	0.000337668
68	82.96	87.067	69.4994	0.0003412
69	83.7546	85.9802	69.3193	0.000344558
70	83.5735	86.6423	68.5528	0.000360869
71	83.0165	86.654	68.2729	0.000366227
72	83.3266	86.1878	67.9172	0.000373381
73	82.2038	87.0235	67.4651	0.000382207
74	82.3389	86.4919	66.7871	0.000396155
75	81.7131	86.3648	66.4571	0.000402536
76	82.543	86.6772	66.1239	0.000408806
77	81.3339	86.1654	65.5119	0.00042139
78	84.2952	85.8989	65.7806	0.000415006
79	84.7867	86.131	66.1462	0.000406572
80	82.5303	85.9161	65.7102	0.000415179
81	83.9579	85.6888	66.0773	0.000406738
82	83.209	85.0385	65.9161	0.000409308
83	84.511	85.4623	66.0979	0.00040501
84	84.1133	85.9476	66.3657	0.000398879
85	84.2295	85.1142	66.5782	0.000393605
86	83.2375	85.3023	66.6751	0.000391148
87	82.8809	85.087	66.3628	0.000396997
88	82.055	85.9619	66.1528	0.000400875
89	83.008	85.0333	65.8635	0.000406105
90	83.4456	85.2795	66.0849	0.000401035
91	82.2043	85.0385	65.7327	0.000407572
92	82.8935	87.334	65.5935	0.000409818
93	83.9026	86.8878	65.7714	0.00040549
94	82.2889	84.8078	65.4887	0.000410806
95	83.1995	85.0279	65.635	0.000407069
96	81.6418	85.0526	65.3153	0.000413281
97	81.8088	85.8903	65.0379	0.000418423
98	82.9062	84.8074	65.1486	0.000415575
99	83.7386	85.7018	65.2573	0.000412562
100	82.2531	84.8096	65.0785	0.000415748
101	82.3573	86.0006	64.8796	0.000419123
102	82.2208	85.3535	64.6133	0.000424129
103	81.7028	85.7181	64.1952	0.000432159
104	81.7555	85.6009	63.96	0.000436433
105	82.1932	85.1654	63.7465	0.000440128
106	81.2165	84.8667	63.1767	0.000451291
107	81.3442	86.0825	63.0717	0.000452847
108	81.3154	84.7036	62.6964	0.000460614
109	81.6862	84.6556	62.2785	0.000468915
110	81.3576	85.5276	62.1039	0.000471706
111	80.2421	86.259	61.803	0.000477205
112	80.6824	85.3753	61.4599	0.000483633
113	80.2265	85.1882	61.2131	0.000488086
114	80.6324	84.5641	60.9557	0.000492616
115	82.1963	85.4137	61.0255	0.000490522
116	82.05	85.3505	61.1852	0.000486414
117	81.9427	85.7756	61.2691	0.000484118
118	81.4304	93.135	61.0295	0.000488273
119	81.3041	85.5173	60.7631	0.000492989
120	82.1927	83.2227	60.9476	0.000488512
121	81.0577	85.5838	60.6804	0.000493233
122	81.3654	85.09	60.4896	0.000496411
123	82.5425	87.9952	60.6141	0.000493379
124	80.9984	83.2667	60.3347	0.000498093
125	80.9907	84.5243	60.2549	0.000498976
126	81.1802	86.2854	60.2344	0.000498678
127	81.0229	84.6415	60.1263	0.000500132
128	80.8004	86.3644	60.0088	0.000501803
129	80.1451	84.4506	59.8543	0.000504203
130	82.1241	86.0729	59.9249	0.000502055
131	81.6868	83.2869	59.9589	0.000500633
132	82.8104	84.6843	60.0141	0.000498825
133	82.1771	84.6872	60.0545	0.000497508
134	81.6838	84.9949	60.1623	0.000494853
135	82.3238	83.1317	60.2167	0.000492851
136	81.4975	84.2847	60.3763	0.000488746
137	81.3214	84.4577	60.4563	0.000486473
138	80.7509	85.2031	60.4507	0.000486045
139	80.8978	83.2135	60.4859	0.000484527
140	79.6604	83.802	60.3695	0.000486281
141	80.382	84.419	60.0525	0.000491921
142	79.8861	82.6581	59.8802	0.000494776
143	80.5275	84.5079	59.857	0.000494596
144	80.5936	82.6165	59.8323	0.00049448
145	81.5528	83.9593	60.0585	0.000488997
146	80.732	82.6472	60.1628	0.000486148
147	80.0883	82.3091	59.977	0.000489236
148	80.0665	81.8518	59.9548	0.000488946
149	80.9475	84.8734	59.9979	0.000487317
150	80.5602	82.9927	60.1345	0.000483777
151	79.285	85.0356	59.8742	0.000488453
152	80.4316	83.9739	59.8881	0.000487574
153	80.5766	84.6739	60.0227	0.000483999
154	80.9709	85.9449	60.1591	0.000480581
155	80.5992	83.002	60.2339	0.000478575
156	79.9872	84.3686	60.1483	0.000479452
157	80.2005	82.7215	60.1344	0.000479222
158	80.9105	82.6072	60.1613	0.000478027
159	81.5733	84.9028	60.1622	0.000477429
160	80.1254	82.7251	60.1539	0.000477072
161	81.1506	83.8123	60.1443	0.000476648
162	81.1126	82.3927	60.2085	0.000474747
163	80.3146	82.5468	60.2521	0.000473187
164	80.099	84.2596	60.2701	0.00047214
165	80.5086	83.3197	60.2876	0.000471106
166	79.614	82.1039	60.1917	0.000472363
167	80.4786	82.0846	60.2094	0.000471328
168	79.5239	83.5457	60.1132	0.000472587
169	80.0793	82.1427	60.1311	0.00047155
170	79.006	81.3437	60.0348	0.00047281
171	79.113	82.7684	59.8968	0.000474921
172	79.9107	84.9261	59.9363	0.000473433
173	80.0042	84.2073	59.9276	0.000472955
174	79.7907	83.7887	59.9049	0.000472743
175	80.0701	82.5594	60.1276	0.000467583
176	79.6096	82.6592	60.0644	0.000468212
177	80.8583	82.9184	60.1611	0.00046557
178	79.8585	82.3853	60.2146	0.000463887
179	79.0803	81.472	60.1411	0.00046467
180	80.0813	82.5045	60.1377	0.000464103
181	79.5019	81.759	60.1595	0.000462996
182	79.5624	82.3956	60.2127	0.000461267
183	79.8409	81.3101	60.1827	0.000461254
184	79.3064	82.2817	60.2366	0.00045959
185	79.2076	81.2548	60.2044	0.000459565
186	80.489	83.2054	60.2137	0.000458759
187	79.6326	83.1233	60.2307	0.000457829
188	79.1641	81.8386	60.2158	0.000457481
189	78.7208	81.1299	60.0991	0.000459175
190	78.867	82.2749	60.0453	0.000459504
191	79.5302	81.2076	60.0902	0.000458024
192	79.4995	82.0463	60.143	0.00045633
193	79.0102	81.2626	60.1831	0.000454933
194	78.5612	81.5149	60.1677	0.000454576
195	79.6586	81.927	60.168	0.000453844
196	78.6858	81.163	60.1629	0.000453255
197	78.7852	81.8292	60.1562	0.000452635
198	79.3448	81.015	60.1692	0.000451672
199	78.8586	81.9294	60.2002	0.000450353
200	79.1255	82.5851	60.2549	0.000448746
201	78.6878	81.1613	60.2595	0.000447861
202	79.3732	80.9577	60.2788	0.000446881
203	79.3025	81.4263	60.3089	0.000445736
204	79.4365	80.864	60.3019	0.000445299
205	78.452	81.0599	60.2596	0.000445494
206	78.6978	80.7219	60.2883	0.000444406
207	78.6771	84.2929	60.3023	0.000443583
208	78.6158	81.3231	60.3102	0.000442853
209	79.1292	81.9333	60.3556	0.000441436
210	79.7867	84.5586	60.3562	0.000440866
211	79.0435	81.5056	60.3716	0.000439998
212	79.3591	82.1605	60.4473	0.000437911
213	79.0561	82.9155	60.5123	0.000435958
214	79.2852	82.0301	60.5173	0.000435195
215	80.1526	82.082	60.5084	0.000434722
216	80.1505	82.299	60.5265	0.000433628
217	78.6226	80.9279	60.5188	0.000433223
218	78.779	80.6572	60.5671	0.000431755
219	79.2866	82.6919	60.5507	0.000431521
220	79.7819	81.7329	60.5498	0.000431014
221	79.4254	80.166	60.6224	0.000429184
222	79.3035	81.4219	60.7229	0.000426782
223	79.3682	81.8389	60.7064	0.000426504
224	78.8465	81.8803	60.7424	0.000425266
225	78.4415	82.438	60.7544	0.0004245
226	78.6156	81.0926	60.7621	0.000423806
