Step	Best	Median	Predicted	Progress
136	1.04693	1.14443	-345.76	0.0158491
137	1.04089	53.6771	-355.786	0.0163932
138	1.03857	1.10138	-357.147	0.0165161
139	1.02009	1.09939	-365.792	0.0168644
140	1.03848	1.07316	-367.404	0.0169574
141	1.04371	1.08996	-370.326	0.0171434
142	1.03588	1.16688	-374.371	0.0174924
143	1.02113	1.08891	-372.73	0.0174378
144	1.02638	52.0654	-370.328	0.01738
145	1.04505	56.0169	-370.699	0.0174782
146	1.03131	1.1171	-368.941	0.0174665
147	1.05625	60.1084	-370.337	0.0176525
148	1.04133	1.09898	-370.418	0.0177408
149	1.02356	1.0934	-372.25	0.0178539
150	1.03342	1.08586	-373.183	0.017861
151	1.03685	32.6307	-371.26	0.0178821
152	1.036	1.11193	-369.771	0.0178537
153	1.04751	1.07223	-369.769	0.0179869
154	1.0634	1.10094	-368.035	0.0180252
155	1.04913	1.08765	-366.039	0.0180408
156	1.02466	1.09166	-365.181	0.0181632
157	1.03381	1.05689	-363.252	0.0180561
158	1.02553	1.09757	-361.518	0.0180524
159	1.00913	1.09336	-358.931	0.0179556
160	1.02156	51.2977	-357.307	0.0178867
161	1.03076	44.1694	-355.187	0.0178671
162	1.03044	1.06313	-353.056	0.0178396
163	1.0136	1.15718	-352.284	0.0178232
164	0.98921	1.08066	-345.521	0.0175204
165	0.991429	1.05893	-339.282	0.017179
166	1.00272	1.12123	-337.227	0.0171152
