Step	Best	Median	Predicted	Progress
54	77.1699	89.7072	3.69216	0.00181851
55	80.9715	88.2197	0.568207	0.00188508
56	81.2819	88.8065	-1.88899	0.00193716
57	86.9325	92.0969	1.23576	0.00186686
58	85.0371	88.6966	3.93849	0.00180599
59	82.6683	89.5387	4.85126	0.00178429
60	81.9485	90.4223	3.61665	0.00180952
61	84.8299	94.5393	5.90855	0.00175771
62	72.6657	87.6259	3.30395	0.0018128
63	73.7988	89.1679	1.19383	0.00185713
64	76.0072	88.9845	-0.933113	0.00190192
65	60.4064	92.1915	-3.0219	0.00194597
66	81.4447	89.0819	-1.73815	0.00191603
67	81.3285	92.0721	-0.422768	0.00188542
68	79.069	89.1872	-2.0665	0.00191971
69	86.194	93.6836	-0.746185	0.00188898
70	80.5097	89.772	-0.505646	0.00188195
71	87.4652	92.1778	0.462578	0.00185906
72	83.8662	93.712	1.70136	0.00183031
73	65.8622	89.5989	0.144203	0.00186252
74	71.506	93.1038	-1.15051	0.00188906
75	72.9407	87.3585	-2.36756	0.001914
76	83.8408	89.484	-1.47295	0.00189264
77	87.3408	88.4535	-0.492546	0.00186949
78	84.1506	92.2346	0.761101	0.00184041
79	76.8108	90.9383	-0.810928	0.00187299
80	79.0281	92.3079	-0.569504	0.00186599
81	86.9914	92.4646	-0.191505	0.00185603
82	81.1797	88.8604	0.698982	0.0018349
83	84.7926	91.8001	1.50477	0.00181563
84	74.2879	91.3215	0.41571	0.00183766
85	81.0457	88.5672	1.65401	0.00180896
86	81.9054	90.5183	2.14721	0.00179652
87	89.154	90.9497	4.29675	0.00174804
88	82.7889	87.9012	4.85821	0.0017342
89	82.1653	91.5745	5.26019	0.00172382
90	85.4191	90.8237	5.72573	0.00171201
91	85.5229	91.5443	7.61301	0.00166955
92	78.6011	91.9652	8.2697	0.00165375
93	76.6311	83.6627	7.37596	0.00167136
94	81.783	89.7683	7.99026	0.00165649
95	78.1085	84.795	8.56756	0.00164245
96	76.8858	85.7758	8.50391	0.00164217
97	77.9287	81.5744	8.48371	0.001641
98	73.0629	78.112	7.84895	0.00165301
99	64.5352	81.1574	6.48441	0.00168077
100	43.4917	74.6416	5.35527	0.00170352
101	42.9358	70.957	3.73547	0.00173698
102	42.2468	64.06	2.98666	0.00175158
103	36.6991	44.439	2.59718	0.00175838
104	36.678	42.121	2.17361	0.00176593
105	34.1342	38.4079	-0.832008	0.00182972
106	30.1736	33.0226	-1.77154	0.00184857
107	17.9805	34.1583	-2.09041	0.00185389
108	25.7261	33.6035	-3.04662	0.00187313
109	25.3423	32.9128	-4.33763	0.0018997
110	21.7188	30.2771	-5.32652	0.00191972
111	23.2987	29.035	-6.47027	0.00194314
112	19.0375	29.8094	-7.53391	0.00196492
113	16.4915	30.0389	-8.90121	0.00199343
114	19.3207	30.2449	-9.67161	0.00200886
115	14.0753	27.6933	-11.323	0.00204418
116	11.4149	27.0795	-12.7568	0.00207476
117	8.4201	24.0729	-13.7426	0.00209511
118	12.8257	19.754	-15.7539	0.00213833
119	11.9655	23.0568	-18.0769	0.00218873
120	12.3751	19.674	-19.0901	0.00220983
121	10.9793	17.4196	-20.1962	0.00223322
122	1.57055	23.5204	-21.7358	0.00226665
123	7.99423	20.375	-23.2897	0.00230033
124	8.22797	25.7209	-26.3709	0.00236817
125	10.5289	14.8465	-28.2376	0.00240923
126	1.53238	13.4977	-28.6302	0.0024168
127	6.92094	26.701	-29.7359	0.00244083
128	1.52608	11.873	-31.1723	0.00247262
129	1.43446	12.6243	-34.0514	0.00253821
130	1.48138	10.3994	-35.7926	0.00257761
131	1.50533	9.078	-39.1541	0.00265563
132	1.51545	7.33487	-40.5092	0.00268631
133	1.35946	12.3647	-41.6096	0.00271108
134	1.37888	6.98572	-44.0122	0.00276738
135	1.43952	11.6095	-46.3706	0.00282244
136	1.3481	1.56663	-49.6201	0.00290029
