Step	Best	Median	Predicted	Progress
0	90.9837	97.938	0	0
1	90.5456	97.2272	-128.502	0.00483839
2	90.7276	96.8798	26.7037	0.00141035
3	90.6325	95.561	43.09	0.00104803
4	90.0228	93.9819	34.7212	0.00123044
5	90.6589	96.6807	42.8998	0.00104913
6	90.7182	94.0077	70.0817	0.000451813
7	90.5241	93.6105	73.5921	0.000373975
8	89.6598	93.7889	59.8149	0.000674496
9	90.3081	91.1449	60.3426	0.000661872
10	90.0718	93.9311	56.6446	0.000741413
11	90.1923	94.5453	60.2227	0.00066231
12	89.9884	94.9242	56.3028	0.00074648
13	90.1689	93.8979	58.8233	0.000690659
14	89.9507	93.9153	56.8683	0.000732067
15	90.4365	94.7155	59.983	0.000663189
16	87.1546	92.906	56.7359	0.000732604
17	86.7358	93.7184	53.9505	0.000791983
18	84.8721	93.5942	52.9155	0.000812607
19	89.3124	93.5501	49.4624	0.000886325
20	84.19	94.9858	47.65	0.000923911
21	90.6553	93.1205	49.3027	0.000887112
22	89.867	93.0427	52.6224	0.00081393
23	89.2734	93.5031	52.265	0.000820977
24	86.8522	91.1525	50.3763	0.000860118
25	87.0803	95.0798	48.9832	0.000888688
26	85.6553	92.2783	47.151	0.000926479
27	86.3326	93.436	43.8391	0.000996869
28	85.5345	92.7918	40.2021	0.00107354
29	85.0601	93.1012	39.076	0.00109595
30	81.8371	91.5786	33.9336	0.00120496
31	86.5695	91.7877	25.8464	0.00137795
32	86.3253	91.3513	19.6376	0.00151073
33	86.9867	93.1763	21.1159	0.00147693
34	89.013	93.1016	25.8166	0.00137353
35	87.5992	93.2041	32.3094	0.00123191
36	86.1722	92.8	25.5725	0.00137542
37	84.9479	92.9395	18.7024	0.0015223
38	84.8512	92.6578	14.5844	0.00160988
39	88.2067	92.5351	18.4331	0.00152462
40	82.3757	93.0727	14.3003	0.00161247
41	86.5329	92.189	19.5784	0.00149627
42	88.2436	92.7662	23.4589	0.00141084
43	86.0958	91.0712	25.383	0.00136776
44	84.2944	92.7757	21.8302	0.00144253
45	82.3337	90.1565	19.5428	0.00149014
46	78.2363	90.1571	14.969	0.00158733
47	80.5089	91.7013	12.7506	0.00163366
48	76.7558	92.337	10.1461	0.00168855
49	85.3442	91.8369	10.8545	0.00167137
50	87.2322	88.9051	12.8797	0.00162558
51	71.5144	91.9119	10.5623	0.00167417
52	74.8042	91.2475	8.07143	0.0017266
53	82.1031	92.2682	7.31954	0.00174114
